GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
item,com.example.item.application.service,ItemServiceImpl,0,82,0,0,0,13,0,11,0,11
item,com.example.item.framework.controller,ItemController,48,3,0,0,10,1,5,1,5,1
